,month,vehicle_class,quota,bids_success,bids_received,premium
378,2016-04,Category D,357.0,348.5,446.0,6502.0
379,2016-04,Category E,518.0,389.5,1115.5,48505.5
380,2016-05,Category A,2217.5,2199.5,3336.5,47454.5
381,2016-05,Category B,1499.5,1495.0,2378.5,50083.0
382,2016-05,Category C,230.5,230.5,339.5,42652.0
383,2016-05,Category D,406.5,389.0,509.5,6302.5
384,2016-05,Category E,642.0,619.0,1097.5,49350.0
385,2016-06,Category A,2235.0,2205.0,4251.0,54447.0
386,2016-06,Category B,1466.5,1462.5,3175.0,56505.0
387,2016-06,Category C,228.0,222.5,344.5,47218.0
388,2016-06,Category D,414.5,392.0,512.0,6302.5
389,2016-06,Category E,537.0,532.0,934.5,56245.0
390,2016-07,Category A,2247.0,2229.0,3194.5,52650.5
391,2016-07,Category B,1466.0,1466.0,2493.0,56798.5
392,2016-07,Category C,233.5,230.0,327.0,48889.5
393,2016-07,Category D,419.5,394.5,555.5,6157.0
394,2016-07,Category E,519.0,508.5,785.5,56751.5
395,2016-08,Category A,2026.0,1996.5,2757.5,52918.5
396,2016-08,Category B,1336.0,1317.0,2122.0,57201.5
397,2016-08,Category C,178.5,177.5,240.5,48151.5
398,2016-08,Category D,384.0,360.5,549.5,6279.0
399,2016-08,Category E,439.5,425.0,614.0,57578.5
400,2016-09,Category A,2037.5,2002.0,2674.5,50753.0
401,2016-09,Category B,1355.0,1346.0,2100.0,56251.5
402,2016-09,Category C,176.0,170.0,248.5,49845.5
403,2016-09,Category D,382.5,368.0,499.5,6476.5
404,2016-09,Category E,443.5,439.5,657.5,56045.0
405,2016-10,Category A,2043.5,2000.0,2761.0,51249.0
406,2016-10,Category B,1345.0,1287.5,1776.5,54705.5
407,2016-10,Category C,182.0,179.5,242.0,47145.5
408,2016-10,Category D,373.5,357.5,464.0,6353.5
409,2016-10,Category E,432.5,431.5,660.0,55270.0
410,2016-11,Category A,1887.5,1887.5,2668.0,51809.5
411,2016-11,Category B,1300.5,1299.0,1860.0,54603.5
412,2016-11,Category C,183.5,181.0,284.5,48501.5
413,2016-11,Category D,387.0,363.5,488.5,6261.5
414,2016-11,Category E,401.0,392.5,586.0,55450.5
415,2016-12,Category A,1844.0,1827.5,2444.5,48875.5
416,2016-12,Category B,1244.5,1239.5,1773.0,48669.0
417,2016-12,Category C,183.5,179.5,268.0,50354.5
418,2016-12,Category D,394.5,388.0,460.0,6107.0
419,2016-12,Category E,408.5,407.5,655.5,50199.5
420,2017-01,Category A,1861.5,1818.0,2348.5,50495.0
421,2017-01,Category B,1249.0,1234.5,1901.0,52956.5
422,2017-01,Category C,184.5,176.5,262.5,46651.5
423,2017-01,Category D,376.5,352.5,425.0,6052.5
424,2017-01,Category E,400.5,387.5,655.0,52800.5
425,2017-02,Category A,2096.5,2070.0,2808.5,48915.5
426,2017-02,Category B,1371.5,1364.5,1954.5,49415.0
427,2017-02,Category C,169.0,163.0,258.5,49355.5
428,2017-02,Category D,370.0,355.0,643.5,6606.5
429,2017-02,Category E,494.0,485.5,802.5,49778.0
