month,vehicle_class,quota,bids_success,bids_received,premium,coe_indexed_monthly,coe_indexed_2010-01
2015-07-01,Category E,273.0,271.0,426.0,64551.0,152.648,308.945
2015-08-01,Category A,1722.0,1721.5,2521.5,56853.5,186.088,291.534
2015-08-01,Category B,1057.5,1055.0,1592.5,61464.5,142.702,295.573
2015-08-01,Category C,182.5,182.5,272.5,47901.5,159.369,245.077
2015-08-01,Category D,361.0,337.5,472.5,6156.5,482.484,707.237
2015-08-01,Category E,363.0,358.5,608.0,59443.0,137.596,284.498
2015-09-01,Category A,1687.5,1686.0,2414.5,56244.0,178.298,288.409
2015-09-01,Category B,1058.5,1049.5,1499.5,61051.0,140.947,293.585
2015-09-01,Category C,182.0,177.0,363.5,46045.0,143.888,235.579
2015-09-01,Category D,378.5,356.0,491.0,6335.0,428.91,727.743
2015-09-01,Category E,365.5,363.0,561.0,61155.0,140.118,292.692
2015-10-01,Category A,1688.5,1681.5,2219.5,56651.0,172.856,290.496
2015-10-01,Category B,1065.0,1056.5,1370.0,59039.5,135.1,283.912
2015-10-01,Category C,187.0,183.5,335.5,43596.5,142.008,223.051
2015-10-01,Category D,377.5,375.5,434.0,6251.5,391.821,718.15
2015-10-01,Category E,363.5,358.0,583.0,59400.5,133.499,284.295
2015-11-01,Category A,1663.0,1636.5,2074.5,57600.5,157.807,295.364
2015-11-01,Category B,1033.0,1028.5,1327.5,59302.0,126.997,285.174
2015-11-01,Category C,244.0,242.0,380.5,44849.5,144.192,229.462
2015-11-01,Category D,329.0,312.5,419.0,6207.0,420.244,713.038
2015-11-01,Category E,366.0,364.0,512.0,61354.0,127.966,293.644
2015-12-01,Category A,1683.5,1681.5,2055.0,55645.0,118.731,285.337
2015-12-01,Category B,1029.0,1026.5,1262.0,57501.0,85.501,276.514
2015-12-01,Category C,242.5,239.5,328.0,47051.0,143.663,240.725
2015-12-01,Category D,343.5,343.0,404.0,6550.5,402.86,752.499
2015-12-01,Category E,362.0,361.0,503.5,58752.0,83.335,281.191
2016-01-01,Category A,1659.0,1643.5,2725.0,48151.5,246.912,246.912
2016-01-01,Category B,1026.5,1022.5,1298.0,52504.5,252.486,252.486
2016-01-01,Category C,244.0,242.0,370.0,44269.0,226.492,226.492
2016-01-01,Category D,327.5,319.5,412.0,6700.5,769.73,769.73
2016-01-01,Category E,361.0,355.5,605.5,53044.5,253.874,253.874
2016-02-01,Category A,2043.5,2029.0,2968.5,44825.5,222.299,229.857
2016-02-01,Category B,1212.0,1206.5,2261.0,42790.0,181.818,205.771
2016-02-01,Category C,164.5,162.0,234.0,45018.5,200.568,230.327
2016-02-01,Category D,365.0,364.5,474.5,6428.0,693.794,738.426
2016-02-01,Category E,451.0,446.5,848.5,44505.0,190.886,213.004
2016-03-01,Category A,2043.0,1988.5,3677.0,45252.0,183.985,232.044
2016-03-01,Category B,1214.5,1209.0,2598.5,47053.0,150.623,226.271
2016-03-01,Category C,164.5,163.0,242.5,47696.0,159.276,244.025
2016-03-01,Category D,357.0,356.0,429.5,6546.0,554.981,751.982
2016-03-01,Category E,450.5,378.5,931.5,47334.5,136.036,226.546
2016-04-01,Category A,2083.5,2082.0,3523.0,46654.5,145.793,239.235
2016-04-01,Category B,1214.5,1177.0,2305.5,48301.0,112.982,232.272
2016-04-01,Category C,163.5,161.5,238.0,43607.5,121.019,223.108
2016-04-01,Category D,357.0,348.5,446.0,6502.0,525.627,746.927
2016-04-01,Category E,518.0,389.5,1115.5,48505.5,105.443,232.15
2016-05-01,Category A,2217.5,2199.5,3336.5,47454.5,177.43,243.338
2016-05-01,Category B,1499.5,1495.0,2378.5,50083.0,137.97,240.842
